"grid.1","grid.2","distance"
"B/Plasma","B/Plasma",28.1623360549029
"B/Plasma","Endothelial",41.6148549301181
"B/Plasma","Epithelial",23.2703468090613
"B/Plasma","Fibroblast",29.5587197829649
"B/Plasma","Myeloid",54.8430013165165
"B/Plasma","T",16.2441699344595
"B/Plasma","Tumor",9.63447241032894
"Endothelial","B/Plasma",21.3989613724817
"Endothelial","Endothelial",26.338449722975
"Endothelial","Epithelial",21.4446644292509
"Endothelial","Fibroblast",42.2038505313684
"Endothelial","Myeloid",63.1773838883142
"Endothelial","T",20.7585778789299
"Endothelial","Tumor",14.3096373523131
"Epithelial","B/Plasma",36.7738423512015
"Epithelial","Endothelial",67.8362852350788
"Epithelial","Epithelial",23.3242744414537
"Epithelial","Fibroblast",17.759022865861
"Epithelial","Myeloid",37.8176879106344
"Epithelial","T",49.4553847601006
"Epithelial","Tumor",10.2679320441802
"Fibroblast","B/Plasma",34.1994481393035
"Fibroblast","Endothelial",85.207431025223
"Fibroblast","Epithelial",27.7352605117025
"Fibroblast","Fibroblast",24.1594359232504
"Fibroblast","Myeloid",42.5238843625489
"Fibroblast","T",65.2404289354051
"Fibroblast","Tumor",25.1915301117395
"Myeloid","B/Plasma",34.2625340464613
"Myeloid","Endothelial",70.5172636097045
"Myeloid","Epithelial",8.25362236528198
"Myeloid","Fibroblast",10.7826856725514
"Myeloid","Myeloid",31.1825871944922
"Myeloid","T",39.1500288187335
"Myeloid","Tumor",9.83574228751717
"T","B/Plasma",8.52915089215986
"T","Endothelial",32.8552799159519
"T","Epithelial",23.751375290271
"T","Fibroblast",33.5613599895424
"T","Myeloid",57.1554445798016
"T","T",22.863864431858
"T","Tumor",6.12564791681963
"Tumor","B/Plasma",27.7814967725629
"Tumor","Endothelial",58.3158479843816
"Tumor","Epithelial",12.7395373886187
"Tumor","Fibroblast",24.1180328556722
"Tumor","Myeloid",44.0167176369284
"Tumor","T",33.9015756019386
"Tumor","Tumor",23.2226762329015
